Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 1, 640, 480, 1, 640, 480, 1, FRAME, 0, 0, 307200, 307200, 1, 1, 1,,,,,,,,, L2, DMA, 307200, 307200, 1, 307200, 0, 0, ,,,,,,,, DDR, CPU, 308963, 308963, 1, 310016, 642, 7e, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Pool, 1, 640, 480, 1, 640, 480, 1,  COL, 0, 0, 308963, 308963, 1, 1, 1,,,,,,,,, L2, DMA, 309056, 309056, 1, 309120, 0, 80, ,,,,,,,, MSMC, CPU, 309056, 308963, 1, 309248, 642, 7e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Pool, 1, 640, 480, 1, 640, 480, 1,  COL, 0, 0, 308963, 308963, 1, 1, 1,,,,,,,,, L2, DMA, 309056, 309056, 1, 309120, 0, 80, MSMC, CPU, 308963, 0, 1, 308963, 0, 4b800, DDR, DMA, 308963, 308963, 1, 310016, 642, 7e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3,     Data, 1, 640, 480, 0, 0, 0, 1, FRAME, 0, 0, 307680, 307680, 1, 1, 1,,,,,,,,, L2, DMA, 0, 308963, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 308963, 0, 0, 310016, 0, 7e, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
