Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 1, 640, 480, 1, 640, 480, 1, FRAME, 0, 0, 1228800, 1228800, 1, 1, 1,,,,,,,,, MSMC, DMA, 1228800, 1228800, 1, 1228800, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 1228800, 1, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 1, 640, 480, 1, 640, 480, 1,  COL, 0, 0, 204800, 1228800, 6, 1, 6,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 617926, 617926, 1, 618112, 1284, 7c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Pool, 1, 640, 480, 1, 640, 480, 1,  COL, 2564, 0, 205120, 617926, 3, 1, 3,,,,,,,,, L2, DMA, 415368, 415368, 1, 415488, 0, 80, ,,,,,,,, MSMC, CPU, 617926, 617926, 1, 618112, 1284, 96efc, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3,     Pool, 1, 640, 480, 1, 640, 480, 1,  COL, 2564, 0, 205120, 617926, 3, 1, 3,,,,,,,,, L2, DMA, 415368, 415368, 1, 415488, 0, 80, MSMC, CPU, 617926, 0, 1, 617926, 0, 0, DDR, DMA, 617926, 617926, 1, 619008, 1284, 7c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4,     Data, 1, 640, 480, 0, 0, 0, 1, FRAME, 0, 0, 307680, 307680, 1, 1, 1,,,,,,,,, L2, DMA, 0, 308963, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 0, 0, 1229824, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
